order_id,customer_id,order_date,status,region_code
O001,,2023-05-10 16:33:42,cancelled,North
O002,C102,2025-03-18 13:33:18,shipped,west
O003,C328,2025-11-01 09:28:12,shipped,south
O004,C233,2025-09-30 12:18:50,Placed,west
O005,C246,2026-06-29 20:10:09,returned,North
O006,,2023-09-14 19:09:22,cancelled,east
O007,C297,2025-08-05 11:54:55,returned,North
O008,C073,2023-07-25 07:51:19,cancelled,east
O009,C420,2024-07-27 06:47:02,Placed,North
O010,C301,2025-01-15 07:11:11,delivered,west
O011,C057,2026-04-25 09:14:10,cancelled,south
O012,C180,2023-06-05 08:48:02,delivered,east
O013,C382,2025-07-02 22:56:01,returned,east
O014,C369,2024-10-21 13:13:30,cancelled,North
O015,C440,2023-07-05 23:16:41,delivered,east
O016,C155,2024-08-25 03:01:24,returned,east
O017,,2025-12-12 11:33:38,returned,North
O018,C361,2023-04-07 08:31:55,cancelled,east
O019,C269,2024-05-14 01:15:14,delivered,North
O020,C362,2023-09-10 21:00:11,shipped,west
O021,C070,2023-08-19 06:31:41,returned,south
O022,C336,2025-06-28 02:02:20,cancelled,east
O023,C218,2025-12-19 14:46:10,returned,south
O024,C195,13-09-2025 15:12:54,Placed,east
O025,C077,2026-01-10 08:08:48,delivered,North
O026,C404,30-03-2023 15:20:00,returned,south
O027,C328,2024-06-06 07:51:44,shipped,west
O028,C031,2023-05-07 03:54:02,returned,west
O029,C303,2023-06-16 19:37:29,shipped,east
O030,C270,2023-03-19 08:30:19,Placed,east
O031,C075,2024-02-16 09:55:25,delivered,west
O032,C381,2025-05-08 01:46:11,delivered,south
O033,,2024-03-30 17:30:14,cancelled,east
O034,C358,2024-04-22 06:21:48,Placed,south
O035,C083,2023-03-02 07:35:24,returned,west
O036,C099,2024-03-27 14:02:02,Placed,south
O037,C216,2024-04-05 16:57:07,cancelled,North
O038,C104,2023-08-27 06:59:13,cancelled,west
O039,C240,2025-03-04 08:07:01,Placed,North
O040,C174,2025-03-11 20:14:05,Placed,North
O041,C016,2025-01-24 15:19:54,cancelled,west
O042,C361,2024-01-05 04:48:30,cancelled,west
O043,C131,2026-04-10 22:16:21,returned,south
O044,C335,2024-02-07 13:41:55,Placed,west
O045,C074,2025-05-17 21:42:52,delivered,south
O046,C449,2023-09-10 22:11:30,returned,east
O047,C217,2026-04-02 18:44:04,Placed,west
O048,C061,2024-08-24 03:05:29,Placed,south
O049,,17-01-2023 11:15:43,shipped,west
O050,C380,2026-04-01 22:14:53,returned,south
O051,C114,2024-08-16 14:34:47,cancelled,North
O052,C141,2024-05-22 20:34:48,cancelled,south
O053,,2023-08-18 14:06:26,cancelled,east
O054,C189,2024-01-21 12:14:27,returned,west
O055,C091,2025-05-19 13:08:55,cancelled,west
O056,C091,2023-10-18 04:45:05,cancelled,east
O057,C365,17-06-2024 20:22:41,cancelled,south
O058,C047,2025-01-02 03:20:21,shipped,east
O059,C003,2023-11-10 22:47:36,Placed,south
O060,C262,2024-09-08 12:50:00,Placed,south
O061,C231,2023-03-24 21:19:15,returned,south
O062,C272,2023-08-09 04:09:42,shipped,south
O063,C279,2023-08-11 04:06:34,shipped,east
O064,C315,2025-02-22 13:08:28,returned,south
O065,C376,2024-08-05 23:51:03,delivered,south
O066,C401,2023-01-03 19:41:33,Placed,south
O067,C256,2026-03-31 03:44:42,Placed,south
O068,C454,2024-08-24 06:07:18,Placed,south
O069,C175,2025-10-14 06:21:58,cancelled,east
O070,C379,2024-05-09 13:21:30,Placed,east
O071,C489,2025-05-05 01:34:23,shipped,west
O072,C350,2023-09-11 11:57:04,cancelled,North
O073,C159,2023-06-18 02:21:22,delivered,south
O074,C450,2024-11-18 14:59:15,shipped,North
O075,C080,2025-08-08 20:19:25,delivered,west
O076,C080,2025-12-23 16:02:10,shipped,east
O077,C027,2023-06-22 07:18:29,cancelled,south
O078,C011,2025-05-21 17:13:59,delivered,North
O079,C252,2026-02-23 19:30:52,cancelled,east
O080,C128,2024-11-13 14:23:03,cancelled,west
O081,C261,2026-01-05 00:16:27,returned,west
O082,C195,2023-09-04 01:59:26,returned,south
O083,C321,2024-01-17 05:26:57,Placed,North
O084,,2025-09-18 22:52:29,returned,North
O085,C495,2025-12-04 20:38:17,delivered,west
O086,C279,2025-09-08 17:51:38,delivered,west
O087,C095,2024-10-15 16:36:16,delivered,south
O088,,2023-04-01 10:13:30,cancelled,east
O089,C191,2025-12-30 11:43:24,returned,east
O090,,2025-11-26 17:37:28,cancelled,North
O091,C497,2024-06-04 17:17:11,Placed,west
O092,C486,2024-11-08 01:56:22,cancelled,North
O093,C194,2024-08-20 05:58:32,shipped,south
O094,C254,2023-08-04 20:32:14,shipped,North
O095,C055,2023-10-06 12:51:36,Placed,west
O096,C075,2024-05-23 18:51:49,returned,North
O097,C091,2025-04-11 11:36:31,shipped,North
O098,C099,2023-07-15 17:53:17,cancelled,south
O099,C289,2024-12-05 15:14:11,returned,east
O100,C230,2024-04-14 21:33:44,delivered,east
O101,C078,2023-05-30 21:36:38,Placed,North
O102,C013,2024-06-08 12:04:03,cancelled,south
O103,C057,2023-08-03 03:50:44,delivered,east
O104,C455,2026-06-12 00:15:06,Placed,North
O105,C038,2026-01-22 16:21:43,cancelled,south
O106,C086,2024-06-26 05:47:02,cancelled,east
O107,,2025-05-08 22:59:46,cancelled,North
O108,C036,2023-07-03 03:31:53,delivered,North
O109,C175,2025-08-19 02:30:05,returned,south
O110,C327,2026-07-01 00:49:54,cancelled,North
O111,C199,2025-07-28 23:11:46,delivered,North
O112,C227,2025-01-01 13:09:39,returned,south
O113,C463,2023-11-27 23:38:14,cancelled,east
O114,C292,2024-04-04 07:00:34,Placed,west
O115,C077,2024-02-20 08:30:30,Placed,south
O116,C094,2026-03-12 14:10:33,returned,south
O117,C131,2026-02-10 21:32:49,delivered,south
O118,C473,2024-12-30 11:29:19,shipped,west
O119,C029,2025-08-21 09:29:35,returned,south
O120,C059,2024-07-21 23:03:59,cancelled,east
O121,C224,2023-08-14 01:05:34,Placed,North
O122,C309,2023-04-28 11:55:04,Placed,east
O123,C381,2023-03-07 00:55:45,delivered,west
O124,C395,2026-06-01 19:15:11,delivered,west
O125,C076,2024-10-29 13:05:34,cancelled,west
O126,C163,2025-10-10 15:28:50,delivered,west
O127,C283,2023-08-13 04:45:47,shipped,east
O128,C159,2024-12-13 11:32:50,shipped,west
O129,C023,18-03-2024 06:21:32,cancelled,south
O130,C343,2024-10-13 16:04:16,shipped,west
O131,C434,2025-08-31 10:46:16,cancelled,west
O132,C446,2024-09-14 20:31:34,Placed,south
O133,C379,2023-08-20 11:42:31,cancelled,North
O134,C089,2025-02-22 08:07:45,Placed,west
O135,C277,2023-01-16 11:54:14,cancelled,North
O136,C383,2024-10-06 01:03:03,Placed,west
O137,C488,2025-03-11 03:35:29,returned,west
O138,C223,2025-10-16 11:34:06,returned,south
O139,C141,2024-11-28 01:01:12,delivered,south
O140,C064,2023-06-25 20:18:16,cancelled,west
O141,C473,2024-06-19 01:02:19,returned,North
O142,,2023-02-03 04:28:38,returned,east
O143,C141,2025-03-28 09:19:42,shipped,North
O144,C184,2023-09-28 12:00:00,cancelled,east
O145,C447,2023-08-30 02:34:13,Placed,east
O146,C184,2023-10-04 17:57:17,returned,south
O147,C066,2025-06-14 14:20:24,cancelled,east
O148,C370,2023-08-25 10:59:23,returned,south
O149,C223,2025-02-09 14:42:20,cancelled,south
O150,C207,2025-04-26 13:49:36,returned,west
O151,C141,2024-02-02 14:05:54,returned,west
O152,C169,2024-08-08 16:03:02,returned,east
O153,C346,2023-06-30 08:06:14,returned,west
O154,C002,2025-07-11 13:28:23,returned,east
O155,C388,2024-06-08 05:52:57,Placed,east
O156,C440,2024-03-10 13:35:33,returned,west
O157,C399,2025-05-23 00:16:05,shipped,North
O158,C119,2025-10-18 13:44:56,delivered,west
O159,C477,2024-02-06 04:45:01,delivered,west
O160,C097,2023-01-22 20:42:34,delivered,west
O161,C051,2024-06-08 15:16:12,delivered,west
O162,C499,2023-01-22 08:55:37,returned,east
O163,C408,2025-09-28 22:22:19,cancelled,east
O164,C457,2026-05-15 02:36:28,Placed,North
O165,C241,2024-07-11 17:43:48,Placed,east
O166,C337,2025-07-29 04:35:13,cancelled,west
O167,C156,2024-06-15 11:58:32,delivered,east
O168,,2025-07-11 12:20:51,returned,North
O169,,08-06-2023 17:58:38,Placed,west
O170,C327,2024-10-06 12:47:17,returned,east
O171,C321,19-10-2024 09:25:26,cancelled,North
O172,C276,2024-11-08 15:54:35,shipped,south
O173,C400,2024-09-08 20:44:30,returned,east
O174,C139,2023-02-14 06:28:32,cancelled,west
O175,C499,2026-05-05 23:50:13,Placed,west
O176,,15-11-2024 18:11:56,shipped,south
O177,C441,2023-07-30 17:09:45,returned,North
O178,C197,2023-10-10 09:59:13,returned,south
O179,C393,2026-02-19 02:31:22,returned,east
O180,,2023-10-03 17:22:04,delivered,North
O181,C464,2025-05-06 12:32:24,Placed,south
O182,C146,07-09-2024 12:21:52,cancelled,east
O183,C141,2024-04-05 19:37:01,returned,east
O184,C381,2025-05-30 18:27:41,delivered,south
O185,C269,2024-02-24 02:18:01,Placed,North
O186,C342,2026-01-03 21:47:27,returned,North
O187,C456,16-05-2024 22:19:33,shipped,North
O188,C389,2024-01-19 02:21:22,cancelled,North
O189,C040,2024-12-25 03:01:52,delivered,North
O190,C474,2025-08-21 07:41:36,Placed,west
O191,C228,2024-12-19 08:22:33,shipped,west
O192,C117,2024-03-01 20:51:28,cancelled,west
O193,C451,2023-04-01 10:39:08,cancelled,east
O194,C398,2024-01-25 23:41:27,cancelled,west
O195,C121,2023-07-17 09:05:50,shipped,North
O196,C219,2024-10-03 12:11:16,cancelled,south
O197,C284,20-02-2025 17:35:27,shipped,North
O198,C495,2024-04-15 11:53:45,delivered,south
O199,C044,2025-07-14 07:30:22,delivered,east
O200,C127,2024-08-15 02:04:41,Placed,east
O201,,2025-03-05 02:06:38,shipped,south
O202,C462,2023-11-30 16:38:06,shipped,east
O203,C373,21-03-2025 06:57:28,Placed,south
O204,C324,2023-10-16 20:48:36,shipped,east
O205,C389,2025-07-24 09:11:37,shipped,south
O206,C211,2026-04-17 03:58:49,delivered,south
O207,C068,2026-07-13 11:04:24,returned,east
O208,,2026-03-27 22:47:24,delivered,east
O209,C212,2026-03-16 00:39:09,shipped,south
O210,C296,2023-07-27 20:26:31,Placed,west
O211,C116,2023-09-17 01:37:32,shipped,east
O212,C422,03-08-2024 10:02:35,delivered,east
O213,C199,2023-07-27 10:58:27,returned,North
O214,C023,2023-03-01 13:27:16,returned,west
O215,C402,2026-06-29 00:52:47,delivered,east
O216,,2025-05-01 08:49:44,delivered,North
O217,C452,2025-06-21 15:20:03,cancelled,west
O218,C484,2024-10-14 16:47:37,returned,North
O219,C455,2025-10-25 02:00:26,cancelled,west
O220,C335,2024-07-12 03:48:05,cancelled,North
O221,C069,2024-06-11 10:27:42,Placed,east
O222,C419,2026-01-08 22:50:12,cancelled,west
O223,C348,2025-06-03 03:05:03,Placed,west
O224,,2024-06-03 02:24:26,delivered,west
O225,C182,2023-11-28 14:57:44,Placed,North
O226,C227,2026-07-01 18:25:48,cancelled,North
O227,C393,2026-04-21 05:11:56,shipped,east
O228,C493,2025-12-26 10:09:50,cancelled,west
O229,C072,2023-07-07 14:28:58,returned,south
O230,C286,2025-08-29 03:59:38,cancelled,North
