product_id,product_name,category,subcategory,cost_price
P001,Oxford Comic,Books,Comic,23750
P002,Levi's Saree,Clothing,Saree,46440
P003,IKEA Chair,Home,Chair,30885
P004,Penguin Textbook,Books,Textbook,13651
P005,Penguin Journal,Books,Journal,15310
P006,Oxford Notebook,Books,Notebook,42589
P007,Adidas Kurta,Clothing,Kurta,30109
P008,Levi's Shirt,Clothing,Shirt,9884
P009,IKEA Table,Home,Table,13490
P010,Home Centre Sofa,Home,Sofa,7119
P011,Nike T-shirt,Clothing,T-shirt,10278
P012,Penguin Novel,Books,Novel,25258
P013,Penguin Notebook,Books,Notebook,41331
P014,McGraw Hill Notebook,Books,Notebook,32618
P015,Prestige Fan,Home,Fan,34693
P016,Oxford Comic,Books,Comic,13083
P017,Oxford Comic,Books,Comic,22308
P018,Home Centre Table,Home,Table,44672
P019,Prestige Pillow,Home,Pillow,18538
P020,Prestige Fan,Home,Fan,8202
P021,Prestige Table,Home,Table,46856
P022,IKEA Pillow,Home,Pillow,15742
P023,Lenovo Keyboard,Electronics,Keyboard,47327
P024,Dell Webcam,Electronics,Webcam,32750
P025,Penguin Dictionary,Books,Dictionary,31342
P026,Puma Shorts,Clothing,Shorts,29217
P027,Puma T-shirt,Clothing,T-shirt,34980
P028,IKEA Fan,Home,Fan,39896
P029,McGraw Hill Story Book,Books,Story Book,1601
P030,IKEA Mattress,Home,Mattress,16510
P031,Lenovo Laptop,Electronics,Laptop,8555
P032,IKEA Sofa,Home,Sofa,21920
P033,Oxford Dictionary,Books,Dictionary,45730
P034,Prestige Chair,Home,Chair,37954
P035,Levi's Saree,Clothing,Saree,29520
P036,Home Centre Mattress,Home,Mattress,37022
P037,Dell Laptop,Electronics,Laptop,45806
P038,Nike Saree,Clothing,Saree,31769
P039,IKEA Fan,Home,Fan,45621
P040,IKEA Sofa,Home,Sofa,11362
P041,Prestige Sofa,Home,Sofa,21812
P042,Puma Kurta,Clothing,Kurta,19074
P043,IKEA Pillow,Home,Pillow,6325
P044,IKEA Chair,Home,Chair,3889
P045,Prestige Sofa,Home,Sofa,9924
P046,HP Laptop,Electronics,Laptop,27571
P047,McGraw Hill Dictionary,Books,Dictionary,44029
P048,HP Keyboard,Electronics,Keyboard,47370
P049,Puma Shirt,Clothing,Shirt,40644
P050,Levi's Shirt,Clothing,Shirt,13255
P051,Dell Keyboard,Electronics,Keyboard,27711
P052,Puma Shorts,Clothing,Shorts,3448
P053,HP Webcam,Electronics,Webcam,37714
P054,Nike Saree,Clothing,Saree,42441
P055,IKEA Pillow,Home,Pillow,38131
P056,Lenovo Webcam,Electronics,Webcam,36300
P057,Prestige Pillow,Home,Pillow,38714
P058,Samsung Headphones,Electronics,Headphones,32752
P059,Dell Printer,Electronics,Printer,38781
P060,McGraw Hill Journal,Books,Journal,23723
P061,Home Centre Table,Home,Table,42889
P062,McGraw Hill Novel,Books,Novel,32861
P063,Penguin Journal,Books,Journal,44047
P064,Oxford Notebook,Books,Notebook,47315
P065,Home Centre Sofa,Home,Sofa,9037
P066,Samsung Webcam,Electronics,Webcam,45782
P067,Lenovo Headphones,Electronics,Headphones,15281
P068,Prestige Mattress,Home,Mattress,48863
P069,McGraw Hill Dictionary,Books,Dictionary,20315
P070,Oxford Novel,Books,Novel,43818
P071,Samsung Mobile,Electronics,Mobile,4536
P072,IKEA Fan,Home,Fan,4452
P073,Penguin Journal,Books,Journal,11184
P074,Dell Speaker,Electronics,Speaker,14510
P075,Nike Shirt,Clothing,Shirt,19311
P076,Penguin Story Book,Books,Story Book,17520
P077,Home Centre Sofa,Home,Sofa,20436
P078,HP Speaker,Electronics,Speaker,2077
P079,Penguin Textbook,Books,Textbook,32708
P080,Home Centre Mattress,Home,Mattress,14024
P081,Oxford Textbook,Books,Textbook,47929
P082,McGraw Hill Textbook,Books,Textbook,41768
P083,Lenovo Headphones,Electronics,Headphones,6689
P084,Dell Mobile,Electronics,Mobile,13137
P085,Prestige Mattress,Home,Mattress,48849
P086,Lenovo Mobile,Electronics,Mobile,38971
P087,HP Mobile,Electronics,Mobile,6017
P088,Prestige Chair,Home,Chair,45941
P089,Nike Saree,Clothing,Saree,44036
P090,Oxford Dictionary,Books,Dictionary,33467
P091,IKEA Fan,Home,Fan,33877
P092,HP Webcam,Electronics,Webcam,33631
P093,Penguin Story Book,Books,Story Book,39397
P094,Levi's Saree,Clothing,Saree,9536
P095,Prestige Sofa,Home,Sofa,31003
P096,IKEA Sofa,Home,Sofa,15739
P097,IKEA Fan,Home,Fan,9167
P098,Adidas Saree,Clothing,Saree,25575
P099,Adidas Shorts,Clothing,Shorts,33034
P100,Adidas Kurta,Clothing,Kurta,32684
P101,HP Webcam,Electronics,Webcam,37855
P102,Penguin Textbook,Books,Textbook,19478
P103,Prestige Pillow,Home,Pillow,44879
P104,IKEA Fan,Home,Fan,36324
P105,Home Centre Table,Home,Table,19878
P106,Samsung Mouse,Electronics,Mouse,2271
P107,Oxford Comic,Books,Comic,34440
P108,Nike Saree,Clothing,Saree,31922
P109,McGraw Hill Story Book,Books,Story Book,32030
P110,Lenovo Laptop,Electronics,Laptop,37321
P111,Home Centre Sofa,Home,Sofa,35018
P112,Prestige Pillow,Home,Pillow,31764
P113,Dell Headphones,Electronics,Headphones,10486
P114,Oxford Story Book,Books,Story Book,4754
P115,McGraw Hill Journal,Books,Journal,32072
P116,McGraw Hill Notebook,Books,Notebook,6985
P117,McGraw Hill Novel,Books,Novel,1278
P118,Nike Shorts,Clothing,Shorts,24296
P119,IKEA Fan,Home,Fan,23593
P120,Oxford Journal,Books,Journal,23980
P121,Home Centre Sofa,Home,Sofa,36022
P122,HP Speaker,Electronics,Speaker,27479
P123,McGraw Hill Novel,Books,Novel,31382
P124,IKEA Table,Home,Table,42794
P125,Home Centre Chair,Home,Chair,23745
P126,Samsung Printer,Electronics,Printer,40377
P127,Dell Speaker,Electronics,Speaker,1059
P128,Lenovo Laptop,Electronics,Laptop,19166
